source,word,zh
國中版 句型篇,polo'/mo'etep,十
國中版 句型篇,safaw cecay,十一
國中版 句型篇,safaw tosa,十二
國中版 句型篇,safaw tolo,十三
國中版 句型篇,safaw sepat,十四
國中版 句型篇,safaw lima,十五
國中版 句型篇,safaw enem,十六
國中版 句型篇,safaw pito,十七
國中版 句型篇,safaw falo,十八
國中版 句型篇,safaw siwa,十九
國中版 句型篇,tosa polo',二十
國中版 句型篇,kamo,你們
國中版 句型篇,namo,你們的
國中版 句型篇,cangra,他們
國中版 句型篇,nangra,他們的
國中版 句型篇,oni,這個
國中版 句型篇,no mako,我的
國中版 句型篇,miso,你的
國中版 句型篇,ningra,他的
國中版 句型篇,niyam,我們的
國中版 句型篇,papina,多少(人)
國中版 句型篇,sakacowa/icowa,在...的什麼地方;哪裡
國中版 句型篇,ano hakowa,什麼時候;何時
國中版 句型篇,mama,爸爸
國中版 句型篇,ina/wina,媽媽
國中版 句型篇,mamo,祖母
國中版 句型篇,kaka,哥;姊
國中版 句型篇,fa'inayan a kaka,哥哥
國中版 句型篇,fafahiyan a kaka,姊姊
國中版 句型篇,fa'inayan a safa,弟弟
國中版 句型篇,fafahiyan a safa,妹妹
國中版 句型篇,salikaka,兄弟姊妹
國中版 句型篇,wawa,小孩
國中版 句型篇,fa'inayan a wawa,男孩
國中版 句型篇,fafahiyan a wawa,女孩
國中版 句型篇,widang,朋友
國中版 句型篇,ising,醫生
國中版 句型篇,Kacaw,男子名
國中版 句型篇,Namoh,男子名
國中版 句型篇,Ofad,男子名
國中版 句型篇,Ohay,女子名
國中版 句型篇,Panay,女子名
國中版 句型篇,Saomah,女子名
國中版 句型篇,Ofad Kacaw,(男子全名)
國中版 句型篇,Namoh Lo'oh,(男子全名)
國中版 句型篇,Ohay Sera,(女子全名)
國中版 句型篇,Panay Kofi,(女子全名)
國中版 句型篇,tanginga,耳朵
國中版 句型篇,ngoso',鼻子
國中版 句型篇,ngoyos,嘴巴
國中版 句型篇,wadis,牙齒
國中版 句型篇,fongoh,頭
國中版 句型篇,pising,臉
國中版 句型篇,wa'ay,腳
國中版 句型篇,posi,貓
國中版 句型篇,fafoy,豬
國中版 句型篇,kolong,牛
國中版 句型篇,siri,羊
國中版 句型篇,lotong,猴
國中版 句型篇,edo,鼠
國中版 句型篇,koko',雞
國中版 句型篇,ayam,鳥
國中版 句型篇,foting,魚
國中版 句型篇,rengos,草
國中版 句型篇,kilang,樹
國中版 句型篇,papah,葉子
國中版 句型篇,konga,地瓜
國中版 句型篇,ariray,玉米
國中版 句型篇,pawli,香蕉
國中版 句型篇,mami',橘子
國中版 句型篇,tefos,甘蔗
國中版 句型篇,codad,書
國中版 句型篇,sararop,橡皮擦
國中版 句型篇,mali,球
國中版 句型篇,lotok,山
國中版 句型篇,fo'is,星星
國中版 句型篇,miheca / mihecaan,年;歲
國中版 句型篇,romi'ad,日子;天
國中版 句型篇,romi'ami'ad / pararid,天天;常常
國中版 句型篇,anini,現在
國中版 句型篇,anini romi'ad,今天
國中版 句型篇,nacila,昨天
國中版 句型篇,dadaya,晚上
國中版 句型篇,Herek no lahok,下午
國中版 句型篇,kohecalay,白(色)
國中版 句型篇,Nga'ay ho!,好(見面問候用)
國中版 句型篇,arayom,再見
國中版 句型篇,katayni,來
國中版 句型篇,tatayni,要來
國中版 句型篇,tayniay to,來過
國中版 句型篇,katayra,去
國中版 句型篇,tatayra,要去
國中版 句型篇,tayra to!,去了
國中版 句型篇,tayraay to!,去過
國中版 句型篇,komaen,吃(東西)
國中版 句型篇,mafoti',睡覺
國中版 句型篇,misa'osi,讀書
國中版 句型篇,mingingoy,洗(如洗澡)
國中版 句型篇,milali'op,洗(如洗臉)
國中版 句型篇,adada,生病
國中版 句型篇,talaktak,痛(如頭痛)
國中版 句型篇,mihawikid,攜帶(如帶傘)
國中版 句型篇,somowal,說
國中版 句型篇,mitengil,聽
國中版 句型篇,nengneng han,看起來
國中版 句型篇,maedeng,可以(做某事)
國中版 句型篇,simaan,隨便
國中版 句型篇,awa,沒有[表擁有的否定]
國中版 句型篇,caho,沒有[表過去沒有作某事]
國中版 句型篇,naay,不要[表未來不要作某事]
國中版 句型篇,aka,別;不要[祈使句用]
國中版 句型篇,mila'om,浪費
國中版 句型篇,tata'ak / tata'ang,大
國中版 句型篇,miming,小
國中版 句型篇,adihay / 'aloman,多
國中版 句型篇,mamang,少
國中版 句型篇,kakaya',長
國中版 句型篇,kamoko',短
國中版 句型篇,paener,低
國中版 句型篇,so'elin/tada,真的;非常
國中版 句型篇,maemin / mapolong,全部;大家
國中版 句型篇,saw/sao/haw,嗎;呢(用在問句)
國中版 句型篇,caay/caayay,不是[回答用]
國中版 句型篇,ito,也
國中版 句型篇,kocica,主格標記
國中版 句型篇,"to,ci...an, ca...an",受格標記
國中版 句型篇,"no, ni.na",屬格標記
國中版 句型篇,tanestes,英俊
國中版 句型篇,lipahak,快樂
國中版 句型篇,i(tini),在(這裡)
國中版 句型篇,i,在
國中版 句型篇,ira/iraay,有;擁有
國中版 句型篇,kasomowal,說
國中版 句型篇,pitengil,聽
國中版 句型篇,pinengneng,看
國中版 句型篇,kakomaen,吃(東西)
